Date,City,AQI,PM2.5,PM10,NO2,CO,O3,Temperature,Humidity,Traffic_Volume,Population_Density
2026-01-01,Mysuru,78,35,60,22,0.8,30,28,65,1200,4500
2026-01-02,Mysuru,82,38,65,25,0.9,32,29,63,1300,4500
2026-01-03,Mysuru,90,45,70,28,1.0,35,30,60,1500,4500
2026-01-04,Bengaluru,120,65,95,40,1.4,42,31,58,3500,12000
2026-01-05,Bengaluru,135,72,105,45,1.5,48,32,55,3800,12000
2026-01-06,Bengaluru,145,80,115,50,1.7,50,33,52,4000,12000
2026-01-07,Delhi,210,140,220,75,2.5,65,27,45,5500,18000
2026-01-08,Delhi,225,150,235,80,2.8,68,28,43,5800,18000
2026-01-09,Delhi,240,165,250,85,3.0,70,29,40,6000,18000
2026-01-10,Mumbai,160,95,140,55,1.9,52,30,70,4200,15000
2026-01-11,Mumbai,170,100,150,58,2.0,55,31,68,4400,15000
2026-01-12,Mumbai,180,110,160,60,2.2,58,32,65,4600,15000
